id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,asin,epid,gamestop-price,gamestop-trade-price
19580,Wii,JumpStart Pet Rescue,$5.84,$6.32,$26.99,$1.22,$6.09,$1.30,$6.59,$8.40,$27.99,B002HEX27U,73965950,$4.99,$0.16
32837,Wii,JumpStart: Crazy Karts,$8.00,$10.50,$13.66,$1.68,$8.39,$2.20,$10.99,$2.80,$13.99,B006XWV3ZA,112038092,$4.99,
21664,Wii,JumpStart: Escape from Adventure Island,$5.96,$5.99,$35.00,$1.26,$6.29,$1.30,$6.29,$14.80,$36.99,B002SRNFX2,175934372,$4.99,
32836,Wii,JumpStart: Get Moving Family Fitness,$4.99,$6.24,$7.92,$1.04,$5.19,$1.30,$6.59,$1.70,$8.29,B003JZASVE,92929916,,
11878,Wii,Jumper,$4.89,$4.96,$0.99,$1.00,$4.99,$1.00,$5.19,,$1.99,B000YSNMV2,64129393,$4.99,
30925,Wii,Junior League Sports,$0.99,$5.00,$12.75,,$1.99,$1.10,$5.29,$2.60,$12.99,B004999XQ0,101689577,$4.99,
19913,Wii,Jurassic: The Hunted,$12.43,$12.97,$20.50,$2.60,$12.99,$2.80,$13.99,$6.60,$21.99,B002E1N23A,74808665,$9.99,$2.40
20022,Wii,Just Dance,$3.50,$3.99,$9.95,,$3.69,$1.00,$4.99,$2.00,$9.99,B002MWSY3O,77608947,$4.99,$0.60
22186,Wii,Just Dance 2,$2.99,$3.60,$10.49,,$3.09,$1.00,$4.99,$2.20,$10.99,B003O6FV8S,92930011,$4.99,
34318,Wii,Just Dance 2014,$6.50,$7.50,$10.00,$1.36,$6.79,$1.60,$7.89,$2.20,$10.99,B00D7UHT0E,175920825,$19.99,$3.20
35191,Wii,Just Dance 2015,$10.55,$13.00,$15.00,$2.20,$10.99,$2.80,$13.99,$3.20,$15.99,B00KTNSKZU,197181202,$24.99,$8.00
36152,Wii,Just Dance 2016,$16.99,$18.00,$21.99,$3.60,$17.99,$3.80,$18.99,$6.90,$22.99,B00ZE360GG,217815538,$34.99,$12.00
37045,Wii,Just Dance 2017,$19.00,$19.99,$22.00,$4.00,$19.99,$6.30,$20.99,$6.90,$22.99,B01GWGX74Q,223387724,$37.99,$9.60
31807,Wii,Just Dance 3,$2.98,$4.20,$8.00,,$3.09,$1.00,$4.99,$1.70,$8.39,B0053BG26C,106921573,$9.99,$1.60
33162,Wii,Just Dance 4,$5.50,$5.89,$9.75,$1.16,$5.79,$1.20,$6.19,$2.00,$9.99,B0086V5UF0,117393378,$14.99,$3.20
33215,Wii,Just Dance Disney Party,$9.50,$9.99,$19.00,$2.00,$9.99,$2.00,$9.99,$4.00,$19.99,B0088I8M10,129455109,$19.99,$5.60
32888,Wii,Just Dance Greatest Hits,$10.43,$10.72,$15.15,$2.20,$10.99,$2.20,$10.99,$3.20,$15.99,B0081AWU4A,115549404,$24.99,$8.00
30699,Wii,Just Dance Kids,$4.70,$5.43,$9.99,$0.98,$4.89,$1.10,$5.69,$2.00,$9.99,B003ZRZVW2,92977517,$9.99,$1.00
31882,Wii,Just Dance Kids 2,$5.00,$5.74,$10.64,$1.06,$5.29,$1.20,$5.99,$2.20,$10.99,B0058SHMXM,108957718,$9.99,$1.60
34430,Wii,Just Dance Kids 2014,$7.25,$8.99,$12.99,$1.52,$7.59,$1.90,$9.39,$2.80,$13.99,B00ER8HHDO,175943316,$9.99,$1.60
31616,Wii,Just Dance Summer Party,$6.61,$7.48,$10.00,$1.38,$6.89,$1.60,$7.89,$2.20,$10.99,B0056GJVQW,108349878,$9.99,$1.20
